Име,Локација,Град,Работно време,Дејност
Антигона Парк,Адреса: ул.516 бр.6,Скопје,N/A,"['хотели', 'винарски визби']"
Борд лајф винари,Адреса: с.Кучково,Скопје,N/A,"['винарски визби', 'вина - производство', 'винотеки (винарници)']"
Винарска Визба Тиквеш - дирекција,Адреса: ул.812 2,Скопје,N/A,"['вина - производство', 'претставништва на домашни фирми', 'вина - трговија', 'винарски визби']"
Винарска Визба Тиквеш-Продавница Центар,Адреса: Томе Пуре 2,Скопје,N/A,"['винарски визби', 'винотеки (винарници)']"
Далвина,Адреса: Франклин Рузвелт 22,Скопје,Работно време: Пон - Пет од 08:00 до 16:00,"['винотеки (винарници)', 'вина - производство', 'вина - трговија', 'винарски визби']"
Дивино Винарија,Адреса: бул.Македонска Косовска бригада 30-б,Скопје,N/A,"['вина - производство', 'пијалаци - алкохолни - производство', 'винарски визби']"
Картал,Адреса: ул.1519 7,Скопје,Работно време: Пон - Пет од 09:00 до 17:00,"['вина - производство', 'вина - трговија', 'винотеки (винарници)', 'винарски визби']"
Кувин,Адреса: Македонска Преродба 70,Скопје,Работно време: Пон - Нед од 08:00 до 00:00,"['винотеки (винарници)', 'винарски визби']"
Парагон урбан вајнери,Адреса: Борис Трајковски (Првомајска) 62,Скопје,N/A,"['вина - производство', 'винотеки (винарници)', 'винарски визби']"
Попова кула,Адреса: Даме Груев 5-7/1,Скопје,Работно време: Пон - Пет од 08:00 до 16:00,"['винарски визби', 'вина - трговија', 'вина - производство']"
Риго-импекс,Адреса: Наум Наумовски Борче 40,Скопје,Работно време: Пон - Пет од 08:00 до 16:00,"['вина - производство', 'винарски визби', 'вина - трговија', '200 најуспешни']"
Сковин - дирекција,Адреса: 15-ти Корпус 3,Скопје,Работно време: Пон - Пет од 08:00 до 16:00,"['вина - трговија', 'винарски визби', 'вина - производство']"
Таком Груп,Адреса: бул.Јане Сандански 7-1-1/11,Скопје,N/A,"['инокс метали - трговија', 'индустриска опрема и машинерија - производство', 'индустриска опрема и машинерија - инсталација', 'млекарство - машини и опрема', 'фармацевтска опрема и техника', 'винарски визби']"
Филовски винарија - Дирекција,Адреса: 11-ти Октомври 23-а-1/1,Скопје,Работно време: Пон - Пет од 08:00 до 16:00,"['вина - производство', 'винарски визби']"
Шато Камник,Адреса: Камник б.б.,Скопје,N/A,"['вина - трговија', 'винарски визби', 'вина - производство']"
Агрониколов,Адреса: 4-ти Јули 1,Велес,N/A,"['винарски визби', 'винотеки (винарници)', 'вина - производство']"
Ангелови,Адреса: Македонија 6.6.,Кавадарци,N/A,"['винотеки (винарници)', 'винарски визби']"
Аневски винерија,Адреса: Железничка 39,Штип,Работно време: Пон - Пет од 07:00 до 15:00,"['винарски визби', 'вина - производство', 'вина - трговија']"
Винарска Визба Тиквеш-Продавница Центар,Адреса: Томе Пуре 2,Скопје,N/A,"['винарски визби', 'винотеки (винарници)']"
Вински подрум Попови,Адреса: Сремски Фронт 18,Кавадарци,N/A,"['винарски визби', 'вина - трговија', 'вина - производство', 'апартмани и приватни соби - изнајмување']"
ВВМ ГД Тиквеш,Адреса: Шишка 2,Кавадарци,N/A,['винарски визби']
Гоце Делчев-Тиквеш,Адреса: с.Возарци,Кавадарци,Работно време: Пон - Саб од 06:30 до 14:30,['винарски визби']
Далвина,Адреса: Франклин Рузвелт 22,Скопје,Работно време: Пон - Пет од 08:00 до 16:00,"['винотеки (винарници)', 'вина - производство', 'вина - трговија', 'винарски визби']"
Далвина,Адреса: с.Хамзали,Струмица,Работно време: Пон - Саб од 08:00 до 16:00,"['винотеки (винарници)', 'винарски визби']"
Далвина,Адреса: с.Хамзали Босилово 9,Струмица,N/A,"['винарски визби', 'вина - производство']"
Дестилерија Китвин,Адреса: Вељко Влаховиќ 2-2/6,Кавадарци,N/A,"['винарски визби', 'ракија - производство']"
Дивино Винарија,Адреса: бул.Македонска Косовска бригада 30-б,Скопје,N/A,"['вина - производство', 'пијалаци - алкохолни - производство', 'винарски визби']"
Донов,Адреса: Лазо Асијата 6,Кавадарци,N/A,"['вина - трговија', 'винарски визби']"
